Sat Nov 16 01:28:43 2024    profile_stats

         137885 function calls (129299 primitive calls) in 0.335 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2935    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      142    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
  892/887    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00007FFF14AB7A20}
    45/28    0.000    0.000    0.001    0.000 c:\Users\Kobo\sapai\sapai\teams.py:53(move_forward)
      114    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      114    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      250    0.000    0.000    0.001    0.000 c:\Users\Kobo\sapai\sapai\teams.py:375(__repr__)
        6    0.000    0.000    0.001    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\getlimits.py:34(__init__)
      342    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        1    0.000    0.000    0.001    0.001 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\lib\_polynomial_impl.py:1(<module>)
      410    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
      154    0.000    0.000    0.001    0.000 c:\Users\Kobo\sapai\sapai\pets.py:775(__repr__)
        1    0.000    0.000    0.001    0.001 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\lib\_nanfunctions_impl.py:1(<module>)
        4    0.000    0.000    0.001    0.000 c:\Users\Kobo\sapai\sapai\teams.py:21(__init__)
     1180    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      404    0.000    0.000    0.001    0.000 c:\Users\Kobo\sapai\sapai\pets.py:81(attack)
